,timestamp,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,SMA_20,EMA_50,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,RSI,STOCH_K,STOCH_D,STOCHRSI_K,STOCHRSI_D,MOM,WILLR,ROC,MFI,ATR,NATR,OBV,AD,ADOSC,CCI,CMO,TRIX,ULTOSC
395,2024-11-20 15:00:00,0.45,0.45,0.45,0.45,0.0,1732118399999,0,0,0,0,0,0.4350899999999993,0.43194472982826615,0.0048726685994222585,0.002372145817162097,0.0025005227822601614,0.45,0.45,0.45,79.15536829481742,33.333333333333336,66.66666666666666,0.0,33.33333333333337,0.021299999999999986,-0.0,4.9685094471658475,100.00000000000003,0.001691252764641045,0.37583394769801,5001.000000000003,-73159.5,-0.006497933150967583,77.7777777777773,58.31073658963485,0.0832914628448922,100.0
396,2024-11-20 16:00:00,0.45,0.45,0.45,0.45,0.0,1732121999999,0,0,0,0,0,0.4361549999999993,0.4326527796389224,0.005130406766818418,0.0029237980070933615,0.002206608759725057,0.45,0.45,0.45,79.15536829481742,0.0,33.33333333333332,0.0,3.789561257387201e-14,0.021299999999999986,-0.0,4.9685094471658475,100.00000000000003,0.0015704489957381134,0.34898866571958076,5001.000000000003,-73159.5,-0.005316490758559667,66.66666666666632,58.31073658963485,0.08381956996532658,100.0
397,2024-11-20 17:00:00,0.45,0.45,0.45,0.45,0.0,1732125599999,0,0,0,0,0,0.43721999999999933,0.43333306279033723,0.005273872205469876,0.0033938128467686643,0.0018800593587012119,0.45,0.45,0.45,79.15536829481744,0.0,11.1111111111111,100.0,33.33333333333337,0.021299999999999986,-0.0,4.9685094471658475,100.00000000000003,0.0014582740674711054,0.32406090388246783,5001.000000000003,-73159.5,-0.004349856069893576,58.33333333333307,58.31073658963486,0.08471058331012138,42.857142857142854
398,2024-11-20 18:00:00,0.45,0.45,0.45,0.45,0.0,1732129199999,0,0,0,0,0,0.4382849999999993,0.4339866681711083,0.005326172794664352,0.003780284836347802,0.0015458879583165504,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.021299999999999986,-0.0,4.9685094471658475,100.00000000000003,0.0013541116340803122,0.3009136964622916,5001.000000000003,-73159.5,-0.0035589731560321525,51.85185185185164,58.31073658963485,0.08586305722251275,42.857142857142854
399,2024-11-20 19:00:00,0.45,0.45,0.45,0.45,0.0,1732132799999,0,0,0,0,0,0.43934999999999935,0.4346146419683197,0.0053064519138946165,0.004085518251857165,0.0012209336620374513,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,66.6666666666667,0.021299999999999986,-0.0,4.9685094471658475,100.00000000000003,0.001257389374503147,0.2794198610006994,5001.000000000003,-73159.5,-0.0029118871316313744,46.666666666666195,58.31073658963486,0.08719062225210905,42.857142857142854
400,2024-11-20 20:00:00,0.45,0.45,0.45,0.45,0.0,1732136399999,0,0,0,0,0,0.44041499999999933,0.4352179893421111,0.005230528694899594,0.004314520340465651,0.0009160083544339434,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,-0.0,0.0,100.00000000000003,0.0011675758477529222,0.2594612995006494,5001.000000000003,-73159.5,-0.0023824531090212986,42.42424242424196,58.31073658963485,0.08862023058975321,42.857142857142854
401,2024-11-20 21:00:00,0.45,0.45,0.45,0.45,1111.1,1732139999999,499.99500,1,1111.1,499.99500,0,0.4414799999999993,0.4357976760345773,0.005111437526799267,0.004473903777732375,0.0006375337490668927,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,-0.0,0.0,100.00000000000003,0.0010841775729134278,0.24092834953631728,5001.000000000003,-73159.5,-0.0019492798164719716,38.88888888888835,58.31073658963485,0.09009058454769736,42.857142857142854
402,2024-11-20 22:00:00,0.45,0.45,0.45,0.45,0.0,1732143599999,0,0,0,0,0,0.44254499999999936,0.4363546299155743,0.004959882480261413,0.004571099518238182,0.0003887829620232309,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,33.33333333333337,0.0,-0.0,0.0,100.00000000000003,0.0010067363177053259,0.22371918171229466,5001.000000000003,-73159.5,-0.0015948653017403558,35.897435897434384,58.31073658963485,0.09155072835793643,42.857142857142854
403,2024-11-20 23:00:00,0.45,0.45,0.45,0.45,0.0,1732147199999,0,0,0,0,0,0.44360999999999934,0.4368897424679047,0.004784619894167508,0.004613803593424047,0.00017081630074346037,0.45,0.45,0.45,79.15536829481742,0.0,-1.1842378929335004e-14,0.0,33.33333333333337,0.0,0.0,0.0,100.00000000000003,0.0009348265807263739,0.20773924016141643,5001.000000000003,-73159.5,-0.0013048897963017225,-66.66666666666667,58.31073658963485,0.09295878625965592,42.857142857142854
404,2024-11-21 00:00:00,0.45,0.45,0.45,0.45,0.0,1732150799999,0,0,0,0,0,0.4446749999999994,0.43740387021426136,0.004592780319374046,0.004609598938614047,-1.681861924000133e-05,0.45,0.45,0.45,79.15536829481744,0.0,-1.1842378929335004e-14,100.0,66.6666666666667,0.0,0.0,0.0,0.0,0.0008680532535316329,0.1929007230070295,5001.000000000003,-73159.5,-0.0010676371020963416,-66.66666666666667,58.31073658963486,0.09428083203859572,14.285714285714285
