=== INDICATOR VERIFICATION REPORT ===

Total files processed: 319

=== PROCESSED PAIRS ===
             symbol  rows  indicators                                  date_range
103          IDUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
104         CHRUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
105         ETCUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
106         ARBUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
107           WUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
108         TIAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
109         SNXUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
110  ETHUSDT_241227   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
111       JASMYUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
112        SCRTUSDT    86          39  2024-11-21 10:00:00 to 2024-11-24 23:00:00
113  BTCUSDT_250328   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
114        OMNIUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
115      PENDLEUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
116        SAGAUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
117       VANRYUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
118        DENTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
119         TWTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
120        BICOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
121       QUICKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
122         CRVUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
123        BONDUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
124       COMBOUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
125        DUSKUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
126       HMSTRUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
127    1000RATSUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
128       NEIROUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
129        HOOKUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
130        NTRNUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
131        ATOMUSDT   500          39  2024-11-04 03:00:00 to 2024-11-24 22:00:00
132         QNTUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
133         FETUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
134         FILUSDT   500          39  2024-11-04 04:00:00 to 2024-11-24 23:00:00
